    ENTRY#        PC    TARGET      PRED      BUSY
       847    421d3c    423d04         0         1
       848    402d40    400200         0         1
       849    406d44    406eb8         0         1
       851    403d4c    403d80         0         1
       852    401d50    400200         0         1
       854    421d58    421c58         0         1
       855    428d5c    413030         0         1
       856    400d60    400d2c         1         1
       858    401d68    400200         0         1
       859    400d6c    400200         0         1
       861    402d74    402d40         1         1
       862    420d78    420d80         0         1
       863    42ad7c    42adc8         0         1
       864    402d80    400200         0         1
       867    421d8c    421da8         0         1
       868    420d90    4219b4         0         1
       870    401d98    400200         0         1
       871    408d9c    40806c         1         1
       872    400da0    400d6c         1         1
       873    420da4    420df0         0         1
       875    421dac    421dcc         1         1
       876    420db0    420dbc         0         1
       877    402db4    402d80         1         1
       879    408dbc    409348         0         1
       880    423dc0    423e0c         0         1
       881    421dc4    4220f4         0         1
       882    416dc8    404ec4         0         1
       884    42add0    42adec         0         1
       885    401dd4    400200         0         1
       888    401de0    400200         0         1
       890    421de8    423a10         0         1
       891    420dec    420fbc         0         1
       892    416df0    416e0c         0         1
       893    402df4    402dc0         1         1
       894    416df8    416e2c         0         1
       895    414dfc    414e0c         0         1
       897    42ae04    42ae80         0         1
       899    414e0c    414e1c         0         1
       900    42ae10    42ae28         0         1
       903    414e1c    414e2c         0         1
       905    42de24    42de60         0         1
       907    414e2c    414e3c         0         1
       911    414e3c    414e4c         0         1
       913    42ae44    42ae68         0         1
       915    414e4c    414e5c         0         1
       919    414e5c    414e6c         0         1
       923    414e6c    414e7c         0         1
       926    42ae78    42adfc         0         1
       927    414e7c    414e8c         0         1
       929    42ae84    42af10         0         1
       931    414e8c    414e9c         0         1
       936    425ea0    425e6c         0         1
       938    42dea8    42deb8         0         1
       939    423eac    423ec0         0         1
       941    405eb4    405e9c         3         1
       943    406ebc    407170         0         1
       944    404ec0    4159b0         0         1
       945    42dec4    42ded4         1         1
       947    420ecc    420efc         0         1
       948    42ded0    42df08         0         1
       951    425edc    425f14         0         1
       952    420ee0    4219b4         0         1
       953    42dee4    42def4         0         1
       954    423ee8    423ef4         0         1
       955    420eec    420efc         0         1
       957    420ef4    420e2c         0         1
       958    42def8    42dc50         0         1
       960    42df00    42debc         0         1
       961    423f04    423f28         2         1
       962    421f08    421c58         0         1
       963    406f0c    406ef0         1         1
       965    420f14    420da8         0         1
       966    406f18    407f9c         0         1
       968    42af20    42af3c         0         1
       969    423f24    423f4c         0         1
       971    404f2c    4159b0         0         1
       973    420f34    420f44         0         1
       974    416f38    40a018         0         1
       975    421f3c    421c58         0         1
       976    402f40    400200         0         1
       978    420f48    420fcc         0         1
       980    420f50    420f64         3         1
       981    423f54    423efc         0         1
       983    420f5c    420fc0         0         1
       984    405f60    405de4         1         1
       986    420f68    42155c         0         1
       987    423f6c    423f7c         0         1
       988    420f70    420f84         3         1
       989    406f74    406ff4         0         1
       990    401f78    400200         0         1
       991    420f7c    420fc0         0         1
       992    407f80    418c74         0         1
       993    407f84    4194a0         0         1
       994    420f88    421af4         0         1
